1,2,3,4,5,6,7,8,9,10,11
65161.1,51254.34,-15477.93,-21056.04,6247.63,-3738.75,6901.64,1484.0,0.034,0.772,0.604
64627.77,50468.76,-15161.32,-20869.73,6642.98,-3326.5,7312.46,1878.28,0.034,0.772,0.604
64494.55,50356.64,-15162.37,-20741.28,6605.3,-3402.43,7276.01,1856.49,0.034,0.772,0.604
65002.78,51086.34,-15434.35,-20914.33,6270.63,-3748.03,6910.56,1500.85,0.036,0.764,0.602
65215.37,51327.36,-15508.11,-21058.16,6210.16,-3793.14,6844.28,1428.19,0.036,0.764,0.602
64735.1,50605.31,-15221.05,-20921.37,6576.84,-3394.02,7236.42,1802.33,0.036,0.764,0.602
64472.49,50295.4,-15112.39,-20717.14,6675.95,-3333.23,7346.21,1918.34,0.036,0.764,0.602
64933.11,50975.57,-15378.51,-20863.23,6334.26,-3688.31,6986.69,1576.11,0.036,0.764,0.602
65272.3,51398.95,-15490.07,-21016.09,6209.47,-3799.66,6851.21,1431.61,0.036,0.764,0.602
64870.86,50781.48,-15258.06,-20937.41,6518.64,-3456.41,7171.8,1735.28,0.036,0.764,0.602
64453.73,50240.53,-15096.12,-20733.46,6693.9,-3302.72,7362.17,1941.83,0.036,0.764,0.602
64846.61,50838.84,-15325.96,-20820.85,6386.9,-3627.31,7041.54,1644.08,0.036,0.764,0.602
65252.65,51377.2,-15511.64,-21013.79,6176.77,-3829.28,6822.29,1417.3,0.036,0.764,0.602
64963.84,50910.12,-15337.45,-20995.89,6425.32,-3552.94,7083.69,1652.89,0.036,0.77,0.602
64479.26,50246.96,-15081.08,-20751.25,6715.11,-3279.74,7388.97,1952.4,0.036,0.77,0.602
64768.04,50716.22,-15273.93,-20784.33,6456.99,-3571.52,7107.41,1693.79,0.036,0.77,0.602
65237.7,51355.28,-15500.87,-20986.46,6191.66,-3824.65,6834.58,1426.67,0.036,0.77,0.602
65066.69,51054.02,-15399.48,-21028.1,6351.54,-3629.34,7009.75,1583.26,0.036,0.77,0.602
64513.73,50280.43,-15109.98,-20795.1,6700.4,-3283.85,7375.05,1937.94,0.036,0.77,0.602
64654.3,50555.6,-15253.81,-20782.25,6489.23,-3533.5,7153.3,1735.81,0.036,0.77,0.602
65159.58,51256.01,-15492.89,-20982.01,6194.76,-3824.41,6839.88,1431.83,0.036,0.77,0.602
65126.68,51147.52,-15450.15,-21062.29,6278.07,-3708.89,6928.03,1510.98,0.036,0.77,0.602
64562.03,50343.14,-15139.86,-20854.62,6663.46,-3320.4,7325.2,1888.81,0.036,0.77,0.602
64566.21,50432.6,-15193.89,-20761.33,6559.48,-3465.24,7219.68,1803.32,0.036,0.776,0.608
65082.31,51165.53,-15443.58,-20934.24,6248.01,-3773.24,6896.92,1493.68,0.036,0.776,0.608
65142.46,51213.68,-15491.23,-21073.38,6219.66,-3769.89,6875.02,1460.46,0.036,0.776,0.608
64593.07,50415.57,-15192.3,-20909.65,6603.85,-3374.62,7263.11,1826.2,0.036,0.776,0.608
64410.77,50246.9,-15171.78,-20764.41,6600.27,-3417.07,7262.26,1845.78,0.036,0.776,0.608
64869.25,50932.2,-15450.06,-20938.53,6256.25,-3757.42,6917.66,1522.2,0.036,0.776,0.608
65080.48,51183.73,-15535.83,-21089.99,6179.65,-3818.97,6847.14,1436.19,0.036,0.776,0.608
64606.22,50474.28,-15256.34,-20961.96,6540.79,-3429.92,7221.4,1789.5,0.036,0.776,0.608
64307.13,50112.41,-15130.1,-20753.79,6660.73,-3345.88,7348.09,1923.81,0.036,0.776,0.608
